,Analyst,Ticker,Reports,Published Data,EPS,Revenue
354,rpajam,CHKP,"Feb 2, 2022 BMO","Oct 25, 2021",2.29,600.60
355,rpajam,BABA,"Feb 2, 2022 BMO","Nov 23, 2021",3.39,"42,747"
356,rpajam,EBAY,"Feb 2, 2022 AMC","Oct 25, 2021",1.10,"3,014"
357,rpajam,TSLA,"Feb 2, 2022 AMC","Oct 25, 2021",2.15,"16,155"
358,rpajam,GOOGL,"Feb 2, 2022 AMC","Nov 8, 2021",27.56,"59,936"
359,rpajam,AMZN,"Feb 3, 2022 AMC","Oct 26, 2021",15.21,"146,335"
360,rpajam,CMG,"Feb 8, 2022 AMC","Oct 25, 2021",6.11,"1,975"
361,rpajam,GILD,"Feb 8, 2022 AMC","Oct 29, 2021",1.69,"6,514"
362,rpajam,CPRI,"Feb 9, 2022 BMO","Jul 27, 2021 134 days ago",1.82,"1,528"
363,rpajam,YELP,"Feb 9, 2022 AMC","Nov 1, 2021",0.22,279.01
364,rpajam,ATVI,"Feb 10, 2022 AMC","Oct 5, 2021 64 days ago",1.47,"3,114"
365,Analyst_9402829,NFLX,"Jan 18, 2022 AMC","Aug 2, 2021 128 days ago",1.13,"7,680"
366,Analyst_9402829,X,"Feb 2, 2022 AMC","Aug 2, 2021 128 days ago",3.25,"4,933"
367,Analyst_9402829,AMZN,"Feb 3, 2022 AMC","Aug 2, 2021 128 days ago",12.87,"143,630"
368,Analyst_9402829,SQ,"Mar 2, 2022 AMC","Aug 2, 2021 128 days ago",0.46,"4,955"
369,Analyst_9402829,NFLX,"Apr 18, 2022 AMC","Aug 2, 2021 128 days ago",3.45,"8,169"
370,Analyst_9402829,X,"Apr 26, 2022 AMC","Aug 2, 2021 128 days ago",2.10,"4,348"
371,Analyst_9402829,AMZN,"Apr 28, 2022 AMC","Aug 2, 2021 128 days ago",17.26,"125,767"
372,Analyst_9402829,SQ,"May 4, 2022 AMC","Aug 2, 2021 128 days ago",0.45,"5,175"
373,Analyst_9402829,NFLX,"Jul 18, 2022 AMC","Aug 2, 2021 128 days ago",3.56,"8,461"
374,Analyst_9402829,X,"Jul 26, 2022 AMC","Aug 2, 2021 128 days ago",1.45,"4,033"
375,Analyst_9402829,AMZN,"Jul 28, 2022 AMC","Aug 2, 2021 128 days ago",16.86,"133,651"
376,Analyst_9402829,SQ,"Aug 3, 2022 AMC","Aug 2, 2021 128 days ago",0.50,"5,560"
377,Analyst_5184679,IBM,"Jan 24, 2022 AMC","Nov 4, 2021",3.82,"18,956"
378,Analyst_5184679,BBY,"Mar 2, 2022 BMO","Nov 17, 2021",2.95,"15,890"
379,Analyst_5184679,BBY,"May 26, 2022 BMO","Nov 17, 2021",1.75,"10,192"
380,"Bret Jordan, CFA",LAD,"Feb 16, 2022 BMO","Apr 17, 2020 600 days ago",3.22,"3,589"
381,Philip Mascherino,EDU,"Dec 13, 2021 BMO","Sep 26, 2021 73 days ago",0.04,"1,146"
382,Philip Mascherino,UPS,"Feb 1, 2022 BMO","Oct 26, 2021",2.98,"26,850"
383,Philip Mascherino,PINS,"Feb 10, 2022 AMC","Nov 29, 2021",0.51,838.00
384,Philip Mascherino,DOCU,"Mar 17, 2022 AMC","Mar 26, 2021 257 days ago",1.09,750.00
385,Dana Telsey,LULU,"Dec 9, 2021 AMC","Dec 3, 2021",1.41,
386,Dana Telsey,VFC,"Jan 27, 2022 BMO","Oct 25, 2021",1.20,
387,Dana Telsey,EL,"Feb 3, 2022 BMO","Nov 3, 2021",2.65,
388,Dana Telsey,RL,"Feb 3, 2022 BMO","Nov 3, 2021",2.18,
389,Dana Telsey,DECK,"Feb 3, 2022 AMC","Oct 29, 2021",8.55,"1,196"
390,Dana Telsey,CPRI,"Feb 9, 2022 BMO","Nov 4, 2021",1.65,
391,Dana Telsey,TPR,"Feb 10, 2022 BMO","Nov 12, 2021",1.18,
392,Dana Telsey,LEVI,"Feb 10, 2022 AMC","Jul 9, 2021 152 days ago",0.40,
393,Dana Telsey,FOSL,"Feb 15, 2022 AMC","May 9, 2020 578 days ago",0.04,
394,Dana Telsey,DDS,"Feb 21, 2022 BMO","Nov 12, 2021",8.75,
395,Dana Telsey,M,"Feb 22, 2022 BMO","Nov 19, 2021",1.90,
396,Dana Telsey,WWW,"Feb 23, 2022 BMO","Nov 11, 2021",0.43,636.00
397,Dana Telsey,BBWI,"Feb 23, 2022 AMC","Nov 18, 2021",2.27,
398,Dana Telsey,KSS,"Feb 24, 2022 BMO","Nov 19, 2021",2.15,
399,Dana Telsey,SHOO,"Mar 1, 2022 BMO","Nov 4, 2021",0.72,539.00
400,Dana Telsey,ROST,"Mar 1, 2022 AMC","Nov 19, 2021",0.99,
401,Dana Telsey,TJX,"Mar 2, 2022 BMO","Nov 18, 2021",1.03,
402,Dana Telsey,CHS,"Mar 2, 2022 BMO","Sep 1, 2021 99 days ago",0.05,
403,Dana Telsey,AEO,"Mar 2, 2022 BMO","Nov 24, 2021",0.42,
404,Dana Telsey,ANF,"Mar 2, 2022 BMO","Nov 24, 2021",1.65,
405,Dana Telsey,BURL,"Mar 3, 2022 BMO","Nov 24, 2021",3.21,
406,Dana Telsey,JWN,"Mar 3, 2022 AMC","Nov 24, 2021",0.94,14.31
407,Dana Telsey,GPS,"Mar 3, 2022 AMC","Nov 24, 2021",-0.14,
408,Dana Telsey,PLCE,"Mar 8, 2022 BMO","Nov 19, 2021",3.45,
409,Dana Telsey,URBN,"Mar 8, 2022 AMC","Nov 23, 2021",0.74,
410,Joseph Feldman,COST,"Dec 9, 2021 AMC","Nov 4, 2021",2.60,
411,Joseph Feldman,NKE,"Dec 20, 2021 AMC","Dec 21, 2020 352 days ago",1.06,"12,463"
412,Joseph Feldman,BBBY,"Jan 6, 2022 BMO","Jan 28, 2021 315 days ago",0.20,
413,Joseph Feldman,ACI,"Jan 18, 2022 BMO","Oct 18, 2021 51 days ago",0.52,
414,Joseph Feldman,ETH,"Jan 26, 2022 AMC","Jan 14, 2021 328 days ago",0.71,
415,Joseph Feldman,TSCO,"Feb 2, 2022 BMO","Oct 22, 2021 48 days ago",1.83,
416,Joseph Feldman,AMZN,"Feb 3, 2022 AMC","Oct 29, 2021",4.47,
417,Joseph Feldman,UAA,"Feb 15, 2022 BMO","Feb 10, 2021 301 days ago",0.06,"1,377"
418,Joseph Feldman,WMT,"Feb 17, 2022 BMO","Nov 16, 2021",1.63,
419,Joseph Feldman,HD,"Feb 22, 2022 BMO","Nov 17, 2021",3.00,
420,Joseph Feldman,LOW,"Feb 23, 2022 BMO","Nov 18, 2021",1.68,
421,Joseph Feldman,FND,"Feb 24, 2022 AMC","Nov 5, 2021",0.45,
422,Joseph Feldman,FL,"Feb 25, 2022 BMO","Feb 26, 2021 285 days ago",1.67,"2,336"
423,Joseph Feldman,BBY,"Mar 2, 2022 BMO","Nov 23, 2021",3.50,
424,Joseph Feldman,DLTR,"Mar 2, 2022 BMO","Nov 24, 2021",1.79,
425,Joseph Feldman,KR,"Mar 3, 2022 BMO","Sep 10, 2021 89 days ago",0.71,
426,Joseph Feldman,COST,"Mar 3, 2022 AMC","Nov 4, 2021",2.58,
427,Joseph Feldman,BIG,"Mar 4, 2022 BMO","Dec 3, 2021",2.20,
428,Joseph Feldman,TGT,"Mar 8, 2022 BMO","Nov 18, 2021",2.90,
429,Joseph Feldman,DKS,"Mar 8, 2022 BMO","Nov 23, 2021",3.05,
430,Joseph Feldman,PRTY,"Mar 10, 2022 BMO","Aug 5, 2021 125 days ago",0.42,
431,Joseph Feldman,WSM,"Mar 16, 2022 AMC","Nov 20, 2020 383 days ago",2.74,
432,Joseph Feldman,DG,"Mar 17, 2022 BMO","Dec 2, 2021",2.59,
433,Joseph Feldman,NKE,"Mar 22, 2022 AMC","Dec 21, 2020 352 days ago",1.03,"12,274"
434,Joseph Feldman,FIVE,"Mar 23, 2022 AMC","Dec 2, 2021",2.48,
435,"Cristina Fernández, CPA",NKE,"Dec 20, 2021 AMC","Sep 24, 2021 76 days ago",0.67,"12,473"
436,"Cristina Fernández, CPA",BBBY,"Jan 6, 2022 BMO","Nov 3, 2021",0.04,
437,"Cristina Fernández, CPA",ETH,"Jan 26, 2022 AMC","Aug 10, 2021 121 days ago",0.69,
438,"Cristina Fernández, CPA",UAA,"Feb 15, 2022 BMO","Nov 3, 2021",0.04,"1,439"
439,"Cristina Fernández, CPA",FL,"Feb 25, 2022 BMO","Nov 19, 2021",1.45,"2,310"
440,"Cristina Fernández, CPA",HIBB,"Mar 11, 2022 BMO","Dec 3, 2021",1.78,
441,"Cristina Fernández, CPA",WSM,"Mar 16, 2022 AMC","Nov 19, 2021",4.87,
442,"Cristina Fernández, CPA",NKE,"Mar 22, 2022 AMC","Sep 24, 2021 76 days ago",0.63,"11,315"
443,"Cristina Fernández, CPA",RH,"Mar 29, 2022 AMC","Dec 9, 2021 0 days ago",5.69,874.00
444,"Cristina Fernández, CPA",BBBY,"Apr 13, 2022 BMO","Nov 3, 2021",0.95,
445,"Cristina Fernández, CPA",ETH,"Apr 28, 2022 AMC","Aug 10, 2021 121 days ago",0.63,
446,"Cristina Fernández, CPA",UAA,"May 3, 2022 BMO","Nov 3, 2021",0.16,"1,365"
447,"Cristina Fernández, CPA",FL,"May 20, 2022 BMO","Nov 19, 2021",1.77,"2,205"
448,"Cristina Fernández, CPA",WSM,"May 25, 2022 AMC","Nov 19, 2021",2.80,
449,"Cristina Fernández, CPA",HIBB,"May 27, 2022 BMO","Dec 3, 2021",4.70,
450,"Cristina Fernández, CPA",RH,"Jun 8, 2022 AMC","Dec 9, 2021 0 days ago",4.56,821.00
451,"Cristina Fernández, CPA",BBBY,"Jun 23, 2022 BMO","Nov 3, 2021",0.13,
452,"Cristina Fernández, CPA",NKE,"Jun 30, 2022 AMC","Sep 24, 2021 76 days ago",1.14,"12,125"
453,"Cristina Fernández, CPA",ETH,"Jul 27, 2022 AMC","Aug 10, 2021 121 days ago",0.72,
454,"Cristina Fernández, CPA",UAA,"Aug 2, 2022 BMO","Nov 3, 2021",0.33,"1,631"
455,"Cristina Fernández, CPA",FL,"Aug 19, 2022 BMO","Nov 19, 2021",1.98,"2,371"
456,"Cristina Fernández, CPA",WSM,"Aug 24, 2022 AMC","Nov 19, 2021",3.35,
457,"Cristina Fernández, CPA",HIBB,"Aug 26, 2022 BMO","Dec 3, 2021",3.25,
458,"Cristina Fernández, CPA",RH,"Sep 7, 2022 AMC","Dec 9, 2021 0 days ago",6.48,966.00
459,"Cristina Fernández, CPA",BBBY,"Sep 21, 2022 BMO","Nov 3, 2021",0.41,
460,Janine Stichter,AEO,"Mar 2, 2022 BMO","Mar 16, 2020 632 days ago",0.42,
