,Ticker,Analyst,Value
0,GNC,Bill,-0.11
1,GNC,Analyst_8749611,0.02
2,GNC,AetCap,0.04
3,GNC,Frederick Tremblay,0.12
4,GNC,Analyst_5991158,0.15
5,GNC,Buck_446488,0.18
6,PAG,Frederick Tremblay,1.25
7,PAG,Stephanie Benjamin,1.24
8,PAG,Bill,1.27
9,PAG,JH839712,1.23
10,PAG,AetCap,1.27
11,PAG,Sentinel,1.30
12,PAG,"Michael Ward, CFA",1.19
13,PAG,Buck_138258,1.16
14,PAG,Buck_504550,1.16
15,ABG,Frederick Tremblay,2.04
16,ABG,savimiki,2.03
17,ABG,Bill,2.00
18,ABG,AetCap,1.99
19,ABG,Sentinel,1.97
20,ABG,Stephanie Benjamin,1.96
21,ABG,"Bret Jordan, CFA",1.91
22,ABG,Buck_138258,1.90
23,SYX,Sentinel,0.25
24,SYX,Bill,0.25
25,SYX,Frederick Tremblay,0.24
26,SYX,Analyst_8016187,0.21
27,MNRO,sduenasr,0.64
28,MNRO,Michael Bertogli,0.64
29,MNRO,JacksonWeeks,0.64
30,MNRO,"Bret Jordan, CFA",0.65
31,MNRO,Arthursen,0.66
32,MNRO,Hector Jirau,0.66
33,MNRO,PCLA,0.66
34,MNRO,Eric,0.66
35,MNRO,Frederick Tremblay,0.67
36,MNRO,larrylai,0.67
37,MNRO,Adam Gaskins,0.61
38,MNRO,Mark Connollly,0.67
39,MNRO,Vincent Giannattasio,0.67
40,MNRO,Analyst_9023061,0.67
41,MNRO,SM_Georg,0.67
42,MNRO,Ali Faghri,0.60
43,MNRO,bompus,0.68
44,MNRO,UcanQuote_me,0.68
45,MNRO,stevezim,0.68
46,MNRO,Analyst_656238,0.68
47,MNRO,Analyst_8626722,0.68
48,MNRO,Scott Hendricks,0.68
49,MNRO,Roman Novacek,0.68
50,MNRO,Bill,0.68
51,MNRO,Rob Ford,0.68
52,MNRO,Richard Wickstrom,0.68
53,MNRO,PM,0.68
54,MNRO,Zilvinas Speteliunas,0.68
55,MNRO,Bob S.,0.69
56,MNRO,Ram,0.69
57,MNRO,hyperionives,0.69
58,MNRO,Mehrwert,0.69
59,MNRO,tlm1tlm,0.69
60,MNRO,maggieb,0.69
61,MNRO,Neil_Martin,0.71
62,MNRO,NM501169,0.74
63,MNRO,JH839712,0.74
64,HZO,larrylai,0.21
65,HZO,Zilvinas Speteliunas,0.21
66,HZO,Bill,0.21
67,HZO,Eric,0.21
68,HZO,Analyst_8626722,0.22
69,HZO,PM,0.22
70,HZO,Michael Swartz,0.19
71,HZO,hyperionives,0.19
72,HZO,Michael Bertogli,0.19
