,Analysts,Ticker,Report,Quarters,Points,Points_Estimate,Estimate_rate,Accuracy
401,Mark Connollly,AMZN,Feb 3,11,174,15.8,22.6%,64%
402,Mark Connollly,SBUX,Jan 27,11,56,5.1,2.8%,49%
403,Mark Connollly,CSCO,Feb 16,11,175,15.9,1.2%,64%
404,Mark Connollly,JAZZ,Mar 1,11,89,8.1,4.2%,53%
405,Mark Connollly,INTC,Jan 26,11,235,21.4,4.4%,71%
406,Mark Connollly,SKX,Feb 10,11,122,11.1,15.4%,57%
407,Mark Connollly,MDT,Feb 22,11,180,16.4,1.4%,64%
408,Mark Connollly,GS,Jan 18,11,206,18.8,7.6%,63%
409,Mark Connollly,FFIV,Jan 26,11,176,16,1.8%,59%
410,Analyst_8835419,FOSL,Feb 15,1,-13,-13,29.7%,21%
411,Analyst_8835419,ANF,Mar 2,1,10,6.7,34.7%,41%
412,Analyst_8835419,MS,Jan 20,1,-12,-12,9.4%,12%
413,Analyst_8835419,ACAD,Mar 1,1,5,5,15.3%,46%
414,BR604079,THO,Mar 7,10,50,5,18.6%,43%
415,BR604079,HOG,Feb 1,10,121,12.1,28.3%,55%
416,BR604079,WGO,Dec 17,10,9,0.9,19.1%,35%
417,BR604079,PII,Feb 1,10,85,8.5,8.1%,55%
418,BR604079,CWH,Mar 10,10,140,14,22.0%,68%
419,BR604079,HZO,Jan 26,9,106,11.8,20.1%,59%
420,BR604079,TTC,Dec 15,4,17,4.3,9.3%,52%
421,BR604079,BC,Jan 27,4,34,7.6,13.8%,44%
422,BR604079,SNA,Feb 3,3,4,1.3,1.3%,52%
423,NR802552,COO,Mar 3,8,-41,-5.1,17.5%,24%
424,NR802552,FLS,Feb 17,7,-13,-1.9,18.3%,31%
425,NR802552,PETS,Jan 24,7,-6,-0.9,39.9%,40%
426,NR802552,AWK,Feb 22,7,22,3.1,3.8%,44%
427,NR802552,XYL,Feb 3,7,-197,-28.1,29.4%,2%
428,NR802552,HRC,Jan 28,7,-37,-5.3,16.1%,22%
429,NR802552,SYK,Jan 25,7,2,0.3,15.2%,36%
430,NR802552,ZBH,Feb 1,7,-58,-8.3,21.3%,17%
431,NR802552,ITGR,Feb 24,7,-74,-10.6,39.3%,20%
432,NR802552,WTS,Feb 14,7,19,2.7,9.2%,33%
433,NR802552,MWA,Feb 2,6,-34,-5.7,23.8%,27%
434,NR802552,WTRG,Feb 23,5,36,7.2,14.1%,51%
435,NR802552,STE,Feb 14,5,79,15.8,4.5%,54%
436,NR802552,SRCL,Feb 24,4,-67,-16.8,34.0%,16%
437,NR802552,ALGN,Feb 3,3,-14,-4,40.0%,34%
438,NR802552,PODD,Feb 23,3,9,3,45.0%,40%
439,NR802552,AXL,Feb 11,3,-9,-3,10.1%,28%
440,NR802552,DXCM,Feb 23,3,-18,-6,57.0%,12%
441,NR802552,WGO,Dec 17,3,35,11.7,5.9%,54%
442,NR802552,CWH,Mar 10,2,-37,-18.5,85.6%,11%
443,NR802552,KAMN,Feb 28,2,-20,-10,59.2%,22%
444,NR802552,THO,Mar 7,2,-29,-14.5,16.2%,9%
445,NR802552,AIT,Jan 27,1,-18,-18,3.0%,24%
446,NR802552,BWA,Feb 10,1,-11,-7.3,11.0%,12%
447,NR802552,VC,Feb 24,1,3,2,11.4%,36%
448,NR802552,TEN,Feb 8,1,23,15.3,6.5%,44%
449,NR802552,LEA,Jan 27,1,-13,-8.7,7.9%,17%
450,NR802552,APTV,Feb 3,1,8,5.3,14.6%,43%
451,Analyst_5157814,ANF,Mar 2,1,-11,-11,5.4%,11%
452,Analyst_5157814,TGT,Mar 8,1,40,40,0.4%,79%
453,Analyst_5157814,AAPL,Feb 1,1,21,21,5.6%,63%
454,Analyst_5157814,FB,Feb 2,1,39,39,0.5%,75%
455,Analyst_5157814,SQ,Mar 2,1,23,23,6.6%,46%
456,CC505328,CASY,Mar 7,9,-86,-9.1,21.7%,28%
457,CC505328,TSCO,Feb 2,9,-26,-2.7,9.9%,33%
458,CC505328,SFM,Feb 24,9,79,8.8,18.5%,41%
459,CC505328,SPTN,Feb 23,9,45,4.7,15.2%,52%
460,CC505328,KR,Mar 3,9,51,5.4,10.9%,48%
461,CC505328,COST,Dec 9,8,108,12.7,7.3%,58%
462,CC505328,UNFI,Mar 9,7,71,9.5,21.4%,53%
463,CC505328,AAN,Feb 22,7,-9,-1.3,5.9%,34%
464,CC505328,SHW,Jan 27,6,46,7.7,4.0%,58%
465,CC505328,DLTR,Mar 2,5,-86,-17.2,14.0%,13%
466,CC505328,BJ,Mar 10,4,8,2,21.4%,28%
467,CC505328,SJM,Feb 23,4,-86,-19.1,19.8%,0%
468,CC505328,WMT,Feb 17,4,12,3,4.8%,23%
469,CC505328,RPM,Jan 5,2,16,8,7.0%,53%
470,CC505328,DG,Mar 17,2,-38,-15.2,16.0%,4%
471,CC505328,PPG,Jan 20,1,-22,-22,9.8%,11%
472,CC505328,ACI,Jan 18,1,-9,-9,30.1%,22%
473,Analyst_7440869,LL,Mar 1,1,-4,-4,20.0%,65%
474,Analyst_3192560,TSLA,Feb 2,1,-12,-12,21.2%,27%
475,Analyst_3192560,PLCE,Mar 8,1,-18,-18,15.3%,5%
476,Analyst_3192560,AFL,Feb 2,1,17,17,1.5%,59%
477,Analyst_3192560,CRUS,Feb 2,1,18,18,11.7%,46%
478,Analyst_3909404,CMG,Feb 8,4,56,14,18.1%,57%
479,Analyst_3909404,ORLY,Feb 9,2,-17,-8.5,1.2%,43%
480,Analyst_3909404,BBBY,Jan 6,1,20,20,3.4%,60%
481,Analyst_3909404,DG,Mar 17,1,31,31,1.0%,79%
482,Analyst_3909404,GRUB,Dec 10,1,22,22,2.3%,68%
483,Analyst_3909404,PYPL,Feb 2,1,-5,-5,7.2%,33%
484,Buck_446488,WMT,Feb 17,12,-7,-0.6,6.5%,33%
485,Buck_446488,SYY,Feb 7,12,-147,-12.3,32.4%,17%
486,Buck_446488,SFM,Feb 24,11,-26,-2.4,19.0%,24%
487,Buck_446488,TGT,Mar 8,10,-81,-8.1,16.3%,23%
488,Buck_446488,DG,Mar 17,10,-37,-3.7,9.8%,18%
489,Buck_446488,DLTR,Mar 2,10,41,4.1,5.5%,51%
490,Buck_446488,OLLI,Apr 6,9,6,0.7,11.8%,45%
491,Buck_446488,KR,Mar 3,9,-41,-4.6,8.9%,26%
492,Buck_446488,W,Feb 24,8,-103,-12.9,27.4%,15%
493,Buck_446488,FIVE,Mar 23,5,7,1.4,5.1%,53%
494,Analyst_9387580,SQ,Mar 2,15,329,21.9,18.2%,63%
495,Analyst_9387580,MSFT,Jan 27,15,335,22.3,4.4%,65%
496,Analyst_9387580,EA,Feb 1,15,254,16.9,11.3%,63%
497,Analyst_9387580,GPRO,Feb 3,15,230,15.3,18.7%,67%
498,Analyst_9387580,ATVI,Feb 10,15,265,17.7,8.5%,65%
499,Analyst_9387580,ZNGA,Feb 9,14,236,16.9,33.5%,63%
500,Analyst_9387580,DDD,Mar 2,14,151,10.8,39.0%,55%
501,Analyst_9387580,GD,Jan 26,14,290,20.7,2.8%,61%
502,Analyst_9387580,WYNN,Feb 10,14,109,7.8,22.1%,61%
503,Analyst_9387580,AMD,Feb 1,14,265,18.9,7.3%,68%
504,Analyst_9387580,IBM,Jan 24,14,183,13.1,1.5%,62%
505,Analyst_9387580,KDP,Mar 3,14,247,17.6,5.3%,60%
506,Analyst_9387580,NFLX,Jan 18,14,300,21.4,8.4%,66%
507,Analyst_9387580,MTCH,Feb 1,14,182,13,6.7%,60%
508,Analyst_9387580,NXPI,Feb 2,14,74,5.3,8.6%,57%
509,Analyst_9387580,FB,Feb 2,14,275,19.6,7.4%,63%
510,Analyst_9387580,SGMS,Feb 24,14,135,9.6,37.3%,57%
511,Analyst_9387580,GRUB,Dec 10,14,194,13.9,24.9%,59%
512,Analyst_9387580,AAPL,Feb 1,14,342,24.4,4.9%,70%
513,Analyst_9387580,PZZA,Feb 22,14,139,9.9,14.5%,64%
514,Analyst_9387580,KO,Feb 9,14,172,12.3,3.2%,59%
515,Analyst_9387580,WEN,Feb 24,14,246,17.6,4.6%,67%
516,Analyst_9387580,HOG,Feb 1,14,125,8.9,24.7%,52%
517,Analyst_9387580,HSY,Feb 3,14,113,8.1,3.2%,50%
518,Analyst_9387580,GOOGL,Feb 2,14,236,16.9,9.3%,57%
519,Analyst_9387580,LVS,Jan 26,14,224,16,14.5%,64%
520,Analyst_9387580,TXN,Jan 26,14,234,16.7,5.2%,61%
521,Analyst_9387580,QCOM,Feb 2,13,281,21.6,6.4%,57%
522,Analyst_9387580,MCD,Jan 24,13,212,16.3,3.1%,66%
523,Analyst_9387580,CSCO,Feb 16,13,224,17.2,1.1%,68%
524,Analyst_3644200,WSM,Mar 16,1,18,18,2.0%,74%
525,kyleevanmurphy,CRM,Mar 1,5,35,7,11.6%,55%
526,kyleevanmurphy,ADSK,Mar 3,5,-47,-9.4,5.7%,19%
527,kyleevanmurphy,ORCL,Dec 9,5,-120,-24,5.0%,7%
528,kyleevanmurphy,AAPL,Feb 1,5,66,13.2,5.6%,54%
529,kyleevanmurphy,VEEV,Mar 1,4,16,4,6.3%,26%
530,kyleevanmurphy,GE,Jan 27,4,-17,-4.3,28.7%,29%
531,kyleevanmurphy,GPRO,Feb 3,4,-131,-32.8,66.1%,3%
532,kyleevanmurphy,QCOM,Feb 2,4,-94,-23.5,19.1%,5%
533,kyleevanmurphy,LULU,Dec 9,4,-27,-6.8,5.7%,27%
534,kyleevanmurphy,BYND,Mar 3,4,-53,-13.3,50.3%,18%
535,kyleevanmurphy,DIS,Feb 8,4,-60,-15,25.5%,22%
536,kyleevanmurphy,SIG,Mar 17,4,10,2.5,21.5%,44%
537,kyleevanmurphy,GPS,Mar 3,4,26,6.5,11.9%,51%
538,Analyst_5841627,NVAX,Feb 28,8,-19,-2.4,66.6%,26%
539,Analyst_5841627,ENTG,Feb 8,5,-18,-3.6,5.5%,39%
540,Analyst_5841627,LL,Mar 1,4,-17,-4.3,39.1%,32%
541,Analyst_5841627,RH,Mar 29,4,-31,-7.8,19.5%,14%
542,Analyst_5841627,EXPO,Feb 3,4,-6,-1.5,13.7%,29%
543,Analyst_5841627,COST,Dec 9,4,-50,-12.5,11.4%,9%
544,Analyst_5841627,NKE,Dec 20,4,62,15.5,12.9%,45%
545,Analyst_5841627,LII,Feb 8,4,30,7.5,22.3%,46%
546,Analyst_5841627,SQ,Mar 2,4,-48,-12,43.3%,12%
547,Analyst_5841627,TRV,Jan 25,4,-15,-3.8,14.3%,31%
548,Analyst_5841627,AAOI,Feb 24,4,-54,-13.5,36.0%,9%
549,Analyst_5841627,RGLD,Feb 2,1,9,9,11.6%,62%
550,Analyst_5841627,GERN,Mar 18,1,-11,-11,37.1%,58%
551,Analyst_5841627,UI,Feb 10,1,-18,-18,13.9%,16%
552,Analyst_5841627,DIS,Feb 8,1,-6,-6,18.7%,69%
553,woldmark843,HD,Feb 22,4,-16,-4,11.1%,25%
554,Analyst_7227115,AAPL,Feb 1,6,71,11.8,9.5%,47%
555,Analyst_7227115,BABA,Feb 2,4,25,6.3,23.5%,31%
556,Analyst_7227115,IBM,Jan 24,4,-145,-36.3,24.2%,2%
557,Analyst_7227115,PLAY,Mar 29,4,-109,-27.3,76.5%,7%
558,Analyst_7227115,V,Feb 3,4,-68,-17,15.5%,18%
559,Analyst_7227115,GOOGL,Feb 2,4,36,9,13.9%,48%
560,Analyst_7227115,PLTR,Feb 15,3,59,19.7,29.2%,66%
561,Analyst_7227115,VRTX,Feb 2,3,88,29.3,8.8%,82%
562,Analyst_7227115,AG,Mar 17,2,-27,-13.5,51.8%,15%
563,Analyst_7227115,INTC,Jan 26,2,34,17,11.4%,64%
564,Analyst_7227115,AEM,Feb 16,2,-17,-8.5,11.5%,18%
565,Analyst_7227115,FSM,Mar 10,2,-38,-19,53.1%,6%
566,Analyst_7227115,AOSL,Feb 9,2,-1,-0.5,13.2%,11%
567,Analyst_7227115,WDFC,Jan 12,2,4,2,7.7%,60%
568,Analyst_7227115,SLM,Jan 19,2,12,6,26.5%,43%
569,Analyst_7227115,ANGO,Jan 6,2,-17,-8.5,57.7%,18%
570,Analyst_7227115,KGC,Feb 9,2,-42,-21,51.0%,5%
571,Analyst_7227115,CLB,Feb 2,2,10,5,4.8%,90%
572,Analyst_7227115,FND,Feb 24,2,8,4,11.5%,33%
573,Analyst_7227115,PM,Feb 3,1,19,19,5.0%,56%
574,Analyst_7227115,SAM,Feb 23,1,-11,-11,19.7%,15%
575,Analyst_7227115,MKC,Jan 27,1,5,5,2.9%,52%
576,Analyst_7227115,LVS,Jan 26,1,14,14,52.7%,62%
577,Analyst_7227115,KO,Feb 9,1,17,17,6.6%,47%
578,Analyst_7227115,ELY,Feb 9,1,-9,-9,25.9%,39%
579,Analyst_7227115,MCD,Jan 24,1,16,16,2.9%,74%
580,Analyst_7227115,SBUX,Jan 27,1,19,19,11.4%,66%
581,Analyst_7227115,RCL,Feb 2,1,17,17,51.1%,58%
582,Analyst_7227115,EDU,Dec 13,1,17,17,2.4%,70%
583,Analyst_7227115,STZ,Jan 6,1,-8,-8,13.6%,27%
584,Analyst_2059933,HD,Feb 22,1,-9,-9,5.2%,17%
585,Analyst_2059933,SPWR,Feb 16,1,19,19,40.0%,44%
586,Medic2525,SLB,Jan 21,8,178,22.3,9.6%,60%
587,Medic2525,INTC,Jan 26,8,129,16.1,8.9%,63%
588,Medic2525,HAL,Jan 24,8,117,14.6,12.3%,62%
589,Medic2525,NXPI,Feb 2,8,172,21.5,12.8%,61%
590,Medic2525,JNPR,Feb 1,8,81,10.1,2.9%,51%
591,Medic2525,ARLP,Jan 31,8,18,2.3,24.9%,58%
592,Medic2525,AMD,Feb 1,8,150,18.8,6.7%,65%
593,Medic2525,MCD,Jan 24,7,-1,-0.1,5.3%,48%
594,Medic2525,CR,Jan 31,7,11,1.6,12.8%,40%
595,Medic2525,STX,Jan 27,7,54,7.7,4.8%,47%
596,Medic2525,PII,Feb 1,7,128,18.3,10.1%,60%
597,Medic2525,CSX,Jan 18,7,93,13.3,2.4%,64%
598,Medic2525,AAPL,Feb 1,7,188,26.9,7.8%,71%
599,Medic2525,TWTR,Feb 10,7,47,6.7,24.5%,52%
600,Medic2525,BAC,Jan 18,7,123,17.6,8.2%,60%
601,Medic2525,BRO,Jan 24,7,107,15.3,6.7%,55%
602,Medic2525,MRK,Feb 3,7,106,15.1,7.4%,66%
603,Medic2525,TSCO,Feb 2,7,136,19.4,8.2%,60%
604,Medic2525,BKR,Jan 20,7,98,14,29.5%,67%
605,Medic2525,NOV,Feb 3,7,22,3.1,40.5%,42%
606,Medic2525,PPG,Jan 20,7,56,8,7.6%,55%
607,Medic2525,GNTX,Jan 28,7,12,1.7,15.8%,56%
608,Medic2525,TSLA,Feb 2,7,128,18.3,22.9%,65%
609,Medic2525,LVS,Jan 26,7,117,16.7,18.0%,69%
610,Medic2525,ALK,Jan 27,7,62,8.9,7.7%,66%
611,Medic2525,SAVE,Feb 8,7,43,6.1,20.9%,52%
612,Medic2525,JJSF,Jan 24,7,69,9.9,21.8%,53%
613,Medic2525,ALV,Jan 28,7,55,7.9,9.2%,47%
614,Medic2525,HXL,Jan 26,7,22,3.1,33.8%,52%
615,Medic2525,LRCX,Jan 26,7,204,29.1,3.4%,64%
616,Analyst_6143517,AAPL,Feb 1,13,103,7.9,6.8%,52%
617,Analyst_6143517,NFLX,Jan 18,8,57,6.7,11.5%,54%
618,Analyst_6143517,AMZN,Feb 3,8,88,11,19.0%,55%
619,Analyst_6143517,URI,Jan 26,7,93,13.3,7.1%,44%
620,Analyst_6143517,NVDA,Feb 17,7,121,17.4,8.8%,54%
621,Analyst_6143517,DIS,Feb 8,6,75,12.5,4.2%,62%
622,Analyst_6143517,FB,Feb 2,6,118,19.7,6.1%,61%
623,Analyst_6143517,INTC,Jan 26,5,86,17.2,8.0%,63%
624,Analyst_6143517,HD,Feb 22,5,67,13.4,2.2%,61%
625,Analyst_6143517,PZZA,Feb 22,5,22,4.4,26.5%,46%
626,Analyst_6143517,MSFT,Jan 27,5,115,23,3.8%,59%
627,Analyst_6143517,GILD,Feb 8,4,70,17.5,10.1%,68%
628,Analyst_6143517,GOOGL,Feb 2,4,17,4.3,8.0%,61%
629,Analyst_6143517,MTZ,Feb 24,4,77,19.3,6.1%,80%
630,Analyst_6143517,VIAC,Feb 17,4,85,21.3,3.5%,70%
631,Analyst_6143517,KMI,Jan 19,3,-14,-4.7,11.6%,39%
632,Analyst_6143517,ZM,Mar 9,3,59,19.7,16.7%,57%
633,Analyst_6143517,WMT,Feb 17,3,26,8.7,3.4%,49%
634,Analyst_6143517,CRM,Mar 1,3,41,13.7,7.3%,49%
635,Analyst_6143517,CSCO,Feb 16,3,92,30.7,0.9%,74%
636,Analyst_6143517,SNAP,Feb 8,3,53,17.7,8.5%,73%
637,Analyst_6143517,MNDT,Feb 10,2,-16,-8,63.6%,15%
638,Analyst_6143517,ADBE,Dec 16,2,40,20,4.4%,52%
639,Analyst_6143517,BOX,Mar 2,2,-27,-13.5,34.6%,24%
640,Analyst_6143517,ECL,Feb 22,2,14,7,1.8%,48%
641,Analyst_6143517,DG,Mar 17,2,60,30,4.2%,81%
642,Analyst_6143517,TGT,Mar 8,2,4,2,6.6%,63%
643,Analyst_6143517,TSLA,Feb 2,2,12,6,36.3%,52%
644,Analyst_6143517,LCI,Feb 2,2,19,9.5,18.0%,53%
645,Analyst_6143517,NKTR,Mar 3,2,29,14.5,18.1%,61%
646,Analyst_5650290,PYPL,Feb 2,17,199,11.7,3.4%,49%
647,Analyst_5650290,PPC,Feb 9,17,136,8,22.7%,53%
648,Analyst_5650290,TBI,Feb 9,16,51,3.2,14.1%,51%
649,Analyst_5650290,TEVA,Feb 10,16,41,2.6,6.4%,50%
650,Analyst_5650290,MU,Dec 20,14,108,7.7,11.2%,57%
651,Analyst_5650290,LL,Mar 1,13,139,10.7,38.5%,55%
652,Analyst_5650290,BIIB,Jan 27,13,127,9.8,6.0%,48%
653,Analyst_5650290,BWA,Feb 10,13,68,5.2,6.8%,41%
654,Analyst_5650290,IPG,Feb 11,13,70,5.4,13.5%,35%
655,Analyst_5650290,FB,Feb 2,12,64,5.3,9.0%,46%
656,Analyst_5650290,GNW,Feb 8,12,12,1,26.4%,40%
657,Analyst_5650290,CMG,Feb 8,12,-10,-0.8,13.9%,37%
658,Analyst_5650290,SQ,Mar 2,11,90,7.8,25.9%,35%
659,Analyst_5650290,KKR,Feb 10,11,80,7.3,24.5%,30%
660,Analyst_5650290,AKAM,Feb 15,11,100,9.1,4.4%,38%
661,Analyst_5650290,GLW,Feb 1,10,65,6.5,10.0%,51%
662,Analyst_5650290,BKNG,Mar 2,10,33,3.3,11.2%,43%
663,Analyst_5650290,WMB,Feb 16,10,74,7.4,9.1%,52%
664,Analyst_5650290,V,Feb 3,10,77,7.7,3.9%,48%
665,Analyst_5650290,FCX,Jan 27,9,60,6.7,38.3%,53%
666,Analyst_5650290,F,Jan 27,9,86,9.6,30.9%,51%
667,Analyst_5650290,INTC,Jan 26,9,155,17.2,6.3%,68%
668,Analyst_5650290,GILD,Feb 8,9,17,1.9,12.2%,37%
669,Analyst_5650290,NWSA,Feb 10,8,117,14.6,19.1%,61%
670,Analyst_5650290,CVS,Feb 9,7,124,17.7,6.2%,52%
671,Analyst_5650290,AMZN,Feb 3,7,78,11.1,16.6%,56%
672,Analyst_5650290,GPRO,Feb 3,6,6,1,38.9%,39%
673,Analyst_5650290,QCOM,Feb 2,5,82,16.4,7.9%,48%
674,Analyst_5650290,TKR,Feb 10,4,-44,-11,10.7%,22%
675,Analyst_5650290,BVN,Feb 24,3,49,16.3,42.8%,72%
676,Ben McCann,MSFT,Jan 27,2,7,3.5,3.4%,39%
677,Ben McCann,BYND,Mar 3,2,-7,-3.5,58.7%,36%
678,Ben McCann,CBRL,Feb 22,1,29,29,0.9%,80%
679,Ben McCann,LL,Mar 1,1,-5,-5,18.4%,65%
680,Ben McCann,BB,Dec 16,1,4,4,46.4%,45%
681,Ben McCann,WDFC,Jan 12,1,13,13,2.3%,47%
682,Ben McCann,ORCL,Dec 9,1,29,29,1.4%,75%
683,Ben McCann,SPOT,Feb 9,1,15,15,37.4%,61%
684,Ben McCann,TER,Jan 26,1,36,36,1.5%,65%
685,Ben McCann,NKE,Dec 20,1,15,15,3.7%,79%
686,Analyst_1844295,CENT,Feb 2,4,66,16.5,31.8%,61%
687,Analyst_1844295,HRB,Mar 8,4,-105,-26.3,45.7%,6%
688,Analyst_1844295,ADSK,Mar 3,4,-23,-5.8,5.3%,16%
689,Analyst_1844295,INO,Mar 16,4,56,14,61.3%,64%
690,Analyst_1844295,KEYS,Feb 17,4,10,2.5,17.7%,24%
691,Analyst_1844295,ROKU,Feb 24,4,-6,-1.5,35.5%,20%
692,Analyst_1844295,MRNA,Mar 9,4,-6,-1.5,57.5%,28%
693,Analyst_1844295,GES,Mar 23,4,-53,-13.3,49.0%,10%
694,Analyst_1844295,AMZN,Feb 3,4,-31,-7.8,24.7%,30%
695,Analyst_1844295,AAPL,Feb 1,4,-33,-8.3,13.5%,18%
696,Analyst_1844295,MELI,Feb 24,4,-9,-2.3,43.1%,34%
697,Analyst_1844295,BBWI,Feb 23,2,0,0,1.9%,35%
698,Analyst_1844295,M,Feb 22,2,10,5,21.1%,21%
699,Analyst_1844295,GPS,Mar 3,2,48,24,5.0%,82%
700,Analyst_1844295,JWN,Mar 3,2,9,4.5,8.6%,48%
701,Analyst_1844295,KSS,Feb 24,2,-20,-10,9.0%,35%
702,Analyst_6431686,NKE,Dec 20,1,-5,-5,59.8%,62%
703,Analyst_6431686,LULU,Dec 9,1,-3,-3,17.2%,68%
704,Analyst_6431686,GM,Feb 1,1,44,44,0.6%,85%
705,Analyst_6431686,LOW,Feb 23,1,22,22,0.5%,72%
706,Analyst_6431686,HD,Feb 22,1,8,8,2.7%,59%
707,Analyst_6431686,WSM,Mar 16,1,22,22,46.2%,64%
708,Analyst_6431686,GPS,Mar 3,1,23,23,55.5%,84%
709,Analyst_6431686,MRK,Feb 3,1,28,28,4.0%,84%
710,Analyst_6431686,PFE,Feb 1,1,13,13,4.6%,74%
711,Analyst_6431686,DAL,Jan 18,1,25,25,7.9%,64%
712,Analyst_6431686,AAPL,Feb 1,1,19,19,14.3%,52%
713,Analyst_6431686,EBAY,Feb 2,1,12,12,5.6%,58%
714,Analyst_6431686,ETSY,Mar 1,1,6,6,51.4%,48%
715,Analyst_6431686,INTC,Jan 26,1,18,18,8.4%,72%
716,Analyst_6431686,CRM,Mar 1,1,27,27,2.5%,66%
717,Analyst_6431686,CHGG,Feb 14,1,35,35,4.7%,74%
718,Analyst_6431686,BGFV,Mar 1,1,13,13,31.2%,91%
719,Analyst_6431686,SHOP,Feb 16,1,18,18,52.6%,43%
720,Analyst_6431686,BCRX,Feb 23,1,20,20,7.3%,73%
721,Analyst_6431686,YELL,Feb 3,1,13,13,14.9%,66%
722,Analyst_6431686,TLRY,Feb 16,1,15,15,13.0%,76%
723,Analyst_6431686,PTON,Feb 9,1,2,2,30.5%,36%
724,Analyst_6431686,CGC,Feb 8,1,31,31,7.6%,78%
725,Analyst_883247,MSFT,Jan 27,21,501,23.9,4.4%,68%
726,Analyst_883247,INTC,Jan 26,21,272,13,6.4%,58%
727,Analyst_883247,GILD,Feb 8,21,259,12.3,6.5%,64%
728,Analyst_883247,ASML,Jan 19,21,288,13.7,9.5%,62%
729,Analyst_883247,FB,Feb 2,21,442,21,6.4%,63%
730,Analyst_883247,BABA,Feb 2,21,360,17.1,7.9%,62%
731,Analyst_883247,GOOGL,Feb 2,21,375,17.9,8.3%,60%
732,Analyst_883247,NKE,Dec 20,20,319,16,9.3%,62%
733,Analyst_883247,NVDA,Feb 17,20,425,21.3,9.2%,67%
734,Analyst_883247,ALB,Feb 16,20,443,22.2,5.2%,64%
735,Analyst_883247,LRCX,Jan 26,19,493,25.9,3.1%,63%
736,Analyst_883247,MU,Dec 20,19,422,22.2,5.8%,65%
737,Analyst_883247,AMD,Feb 1,19,441,23.2,9.8%,69%
738,Analyst_883247,DIS,Feb 8,19,257,13.5,9.0%,60%
739,Analyst_883247,NXPI,Feb 2,19,238,12.5,4.1%,62%
740,Analyst_883247,AAPL,Feb 1,19,442,23.3,5.0%,64%
741,Analyst_883247,ULTA,Mar 10,18,229,12.7,6.6%,57%
742,Analyst_883247,ATVI,Feb 10,18,262,14.6,11.0%,59%
743,Analyst_883247,QCOM,Feb 2,18,374,20.8,5.4%,61%
744,Analyst_883247,AMAT,Feb 16,17,435,25.6,2.3%,66%
745,Analyst_883247,CPRI,Feb 9,17,298,17,11.3%,58%
746,Analyst_883247,GOLD,Feb 16,16,255,15.9,14.8%,64%
747,Analyst_883247,HWM,Feb 1,16,231,14.4,17.9%,59%
748,Analyst_883247,BIDU,Feb 24,16,322,20.1,12.7%,64%
749,Analyst_883247,JD,Mar 3,15,283,18.3,23.6%,59%
750,Analyst_883247,ADBE,Dec 16,14,402,28.7,2.3%,69%
751,Analyst_883247,BKNG,Mar 2,14,220,15.7,4.1%,59%
752,Analyst_883247,BAC,Jan 18,14,338,24.1,3.2%,69%
753,Analyst_883247,DOCU,Mar 17,13,312,24,18.1%,59%
754,Analyst_883247,PPL,Feb 17,13,197,15.2,8.7%,66%
755,Analyst_4146227,AAPL,Feb 1,4,138,34.5,1.8%,80%
756,Analyst_4146227,ZS,Feb 24,4,50,12.5,28.3%,36%
757,Analyst_4146227,CNC,Feb 8,4,80,20,2.5%,58%
758,Analyst_4146227,BMY,Feb 4,4,97,24.3,5.8%,67%
759,Analyst_4146227,FB,Feb 2,4,110,27.5,2.1%,70%
760,Analyst_4146227,SQ,Mar 2,3,52,17.3,8.2%,43%
761,Analyst_4146227,DIS,Feb 8,3,16,5.3,7.7%,64%
762,Analyst_4146227,BABA,Feb 2,3,42,14,8.5%,49%
763,Analyst_4146227,SNAP,Feb 8,3,55,18.3,12.5%,68%
764,Analyst_4146227,CRUS,Feb 2,3,46,15.3,25.5%,44%
765,Analyst_4146227,CVS,Feb 9,3,75,25,3.1%,58%
766,Analyst_4146227,REGN,Feb 10,3,46,15.3,7.6%,61%
767,Analyst_4146227,ADBE,Dec 16,3,56,18.7,1.1%,57%
768,Analyst_4146227,NKE,Dec 20,3,54,18,7.8%,50%
769,Analyst_4146227,AVGO,Dec 9,3,-1,-0.3,1.8%,59%
770,Analyst_4146227,GE,Jan 27,3,43,14.3,12.4%,65%
771,Analyst_4146227,BBBY,Jan 6,3,69,23,24.0%,70%
772,Analyst_4146227,TWTR,Feb 10,3,62,20.7,14.9%,68%
773,Analyst_4146227,NVDA,Feb 17,3,-6,-2,9.9%,54%
774,Analyst_4146227,IBM,Jan 24,3,54,18,1.1%,67%
775,Analyst_4146227,MRK,Feb 3,2,43,21.5,5.6%,68%
776,Analyst_4146227,UAA,Feb 15,2,16,8,23.3%,59%
777,Analyst_4146227,BHC,Feb 23,2,15,7.5,4.3%,59%
778,Analyst_4146227,JPM,Jan 14,2,8,4,8.9%,30%
779,Analyst_4146227,BAC,Jan 18,2,9,4.5,3.4%,47%
780,Analyst_4146227,BIIB,Jan 27,2,42,21,2.7%,51%
781,Analyst_4146227,WGO,Dec 17,2,14,7,8.2%,59%
782,Analyst_4146227,UNH,Jan 18,2,37,18.5,1.1%,68%
783,Analyst_4146227,STZ,Jan 6,2,22,11,6.1%,37%
784,Analyst_4146227,BIDU,Feb 24,2,19,9.5,33.6%,67%
785,Analyst_4542500,K,Feb 10,1,20,20,2.5%,52%
786,Analyst_4542500,COLM,Feb 10,1,-6,-6,3.6%,69%
787,Analyst_4542500,NYT,Feb 3,1,-12,-12,13.7%,15%
