,Analyst_Name,Username,Roles,Join_date,Confidence,Error,Accuracy_Percentile,Points,Points_Estimate,Stocks,Pending_Estimates
168,Analyst_7988082,Analyst_7988082, ,Jul 2016,7.4,-,-,-,-,-,0
169,Analyst_6348688,Analyst_6348688,Non Professional,Feb 2017,8.7,-,-,-,-,-,0
170,Analyst_1328834,Analyst_1328834,Non Professional,Jan 2020,7.1,-,-,-,-,-,0
171,Analyst_5138231,Analyst_5138231,Non Professional,Feb 2020,7.3,-,-,-,-,-,0
172,Analyst_6758340,Analyst_6758340,Non Professional,Mar 2018,6.3,-,-,-,-,-,0
173,iMarcelo,iMarcelo,Non Professional,Feb 2012,7.6,-,-,-,-,-,0
174,Analyst_4422273,Analyst_4422273,Non Professional,Feb 2019,7.3,-,-,-,-,-,0
175,"Jonathan Matuszewski, CFA",Jefferies_227,Financial Professional,Aug 2018,4.6,-,-,-,-,-,0
176,John Hecht,Jefferies_38,Financial Professional,Apr 2016,3.6,45.3%,1%,-13,-26,1,1
177,Analyst_8626722,Analyst_8626722, ,Mar 2018,7.5,-,-,-,-,-,0
178,Bob S.,bsirirat,Non Professional,Jul 2013,6.9,-,-,-,-,-,0
179,Analyst_656238,Analyst_656238, ,Jan 2018,7.8,-,-,-,-,-,0
180,Zilvinas Speteliunas,Spekoliunas,Financials,Oct 2016,8.8,-,-,-,-,-,0
181,Analyst_7821480,Analyst_7821480,Non Professional,Jan 2020,6.6,-,-,-,-,-,0
182,Analyst_169013,Analyst_169013,Non Professional,Feb 2020,7.0,-,-,-,-,-,0
183,Analyst_2278908,Analyst_2278908, ,Mar 2019,7.7,-,-,-,-,-,0
184,"Michael Ward, CFA",GHS_3,Financial Professional,Aug 2016,3.8,64.3%,14%,-68,-27.2,3,0
185,Analyst_2324096,Analyst_2324096, ,Sep 2019,3.2,16.7%,18%,-76,-8.4,9,19
186,Analyst_7846748,Analyst_7846748,Non Professional,Dec 2019,7.2,-,-,-,-,-,0
187,Analyst_8532270,Analyst_8532270, ,Jan 2018,7.8,9.0%,58%,810,15,54,2
188,Analyst_2510548,Analyst_2510548, ,Nov 2019,6.7,-,-,-,-,-,0
189,Analyst_6503212,Analyst_6503212,Non Professional,Nov 2018,6.9,-,-,-,-,-,0
190,Analyst_269716,Analyst_269716, ,Jun 2019,7.6,-,-,-,-,-,0
191,rpajam,rpajam,Non Professional,Aug 2014,7.0,12.8%,39%,152,4.3,35,131
192,Analyst_9402829,Analyst_9402829, ,Dec 2018,2.4,17.7%,42%,-60,-12,5,12
193,Analyst_5184679,Analyst_5184679,Non Professional,Oct 2017,7.1,4.9%,33%,7,3.5,2,3
194,Analyst_5437074,Analyst_5437074,Non Professional,Mar 2016,6.0,-,-,-,-,-,0
195,Analyst_3642898,Analyst_3642898, ,Dec 2017,6.5,-,-,-,-,-,0
196,Analyst_3495376,Analyst_3495376,Non Professional,Feb 2019,7.3,-,-,-,-,-,0
197,skrrrreeeeeeee,skrrrreeeeeeee,Non Professional,Oct 2019,3.8,-,-,-,-,-,0
198,"Bret Jordan, CFA",Jefferies_26,Financial Professional,Apr 2016,5.3,59.5%,0%,-47,-47,1,1
199,Philip Mascherino,Megaannum,Financial Professional,Feb 2014,8.2,10.5%,52%,448,10.9,41,4
200,Dana Telsey,Tag_2,Financial Professional,Oct 2015,7.0,29.6%,39%,72,4.1,31,193
201,Mr3ztime,Mr3ztime,Non Professional,May 2017,5.1,-,-,-,-,-,0
202,gpoubel,gpoubel,Financial Professional,May 2018,6.0,-,-,-,-,-,0
203,Analyst_8696825,Analyst_8696825,Non Professional,Feb 2020,7.2,-,-,-,-,-,0
204,Analyst_7930365,Analyst_7930365,Non Professional,Mar 2019,7.2,-,-,-,-,-,0
205,Analyst_3125982,Analyst_3125982,Non Professional,Feb 2019,N/A,-,-,-,-,-,0
206,Analyst_6414753,Analyst_6414753,Non Professional,Oct 2015,7.2,9.4%,54%,508,11.3,45,0
207,Joseph Feldman,Tag_3,Financial Professional,Oct 2015,6.7,19.2%,35%,11,1,21,123
208,Frederick Tremblay,QuantTrader007,Financial Professional,Apr 2014,7.9,-,-,-,-,-,0
209,"Cristina Fernández, CPA",Tag_5,Financial Professional,Oct 2015,7.4,16.4%,58%,81,23.1,5,46
210,Analyst_7793144,Analyst_7793144,Non Professional,Dec 2018,7.1,-,-,-,-,-,0
211,asuram54,asuram54,Non Professional,Dec 2013,7.4,46.8%,22%,1,0.3,3,1
212,Janine Stichter,Jefferies_209,Financial Professional,Jan 2018,4.3,36.8%,4%,-8,-16,1,1
213,Analyst_9166593,Analyst_9166593,Financial Professional,Mar 2018,6.7,-,-,-,-,-,0
