,Analysts,Ticker,Quarter,Reported,Rank,EPS_Points,Revenue_Points,Total_Points
839,Analyst_4146227,BHC,Q4 2019,"Feb 19, 2020",10 / 28,-3,-1,-4
840,Analyst_4146227,MAT,Q4 2019,"Feb 13, 2020",2 / 16,9,14,23
841,Analyst_4146227,NVDA,Q4 2020,"Feb 13, 2020",186 / 254,-3,8,5
842,Analyst_4146227,AYX,Q4 2019,"Feb 13, 2020",23 / 49,9,9,18
843,Analyst_4146227,BABA,Q3 2020,"Feb 13, 2020",66 / 168,10,10,20
844,Analyst_4146227,HIMX,Q4 2019,"Feb 13, 2020",14 / 15,-6,-7,-13
845,Analyst_4542500,COLM,Q4 2019,"Feb 6, 2020",19 / 29,-2,-4,-6
846,Analyst_4542500,YUM,Q4 2019,"Feb 6, 2020",14 / 36,19,-10,9
847,Analyst_4542500,K,Q4 2019,"Feb 6, 2020",15 / 26,8,12,20
848,Analyst_4542500,NYT,Q4 2019,"Feb 6, 2020",30 / 32,-5,-7,-12
849,Analyst_4542500,DIS,Q1 2020,"Feb 4, 2020",129 / 214,11,-2,9
850,Analyst_4542500,AMG,Q4 2019,"Feb 3, 2020",7 / 9,-11,7,-4
851,Analyst_4542500,ABG,Q4 2019,"Feb 3, 2020",2 / 10,11,24,35
852,Analyst_4542500,AMZN,Q4 2019,"Jan 30, 2020",183 / 330,7,10,17
853,Analyst_384218,HD,Q1 2020,"May 19, 2020",66 / 68,-4,-7,-11
854,Analyst_384218,HD,Q4 2019,"Feb 25, 2020",65 / 65,9,-25,-16
855,Analyst_384218,HD,Q3 2019,"Nov 19, 2019",83 / 83,-25,-25,-50
856,Analyst_384218,HD,Q2 2019,"Aug 20, 2019",80 / 85,7,-21,-14
857,Analyst_14616,JD,Q2 2019,"Aug 13, 2019",17 / 76,8,23,31
858,Analyst_14616,JD,Q4 2018,"Feb 28, 2019",9 / 80,12,17,29
859,Analyst_14616,BBY,Q4 2019,"Feb 27, 2019",46 / 51,12,-25,-13
860,Rick Weinhart,GPC,Q4 2020,"Feb 17, 2021",2 / 2,17,-12,5
861,Rick Weinhart,GPC,Q3 2020,"Oct 22, 2020",5 / 5,12,-25,-13
862,Rick Weinhart,GPS,Q2 2020,"Aug 27, 2020",9 / 9,-9,-4,-13
863,Rick Weinhart,URBN,Q2 2021,"Aug 25, 2020",3 / 7,22,-4,18
864,Rick Weinhart,GPC,Q2 2020,"Jul 30, 2020",6 / 7,-6,12,6
865,Rick Weinhart,PLCE,Q1 2020,"Jun 11, 2020",10 / 11,-25,-10,-35
866,Rick Weinhart,GPS,Q1 2020,"Jun 4, 2020",19 / 19,-5,-25,-30
867,Rick Weinhart,ZUMZ,Q1 2020,"Jun 4, 2020",13 / 17,-6,-7,-13
868,Rick Weinhart,ANF,Q1 2020,"May 28, 2020",14 / 14,-5,-25,-30
869,Rick Weinhart,BKE,Q1 2020,"May 22, 2020",4 / 5,-5,-10,-15
870,Rick Weinhart,URBN,Q1 2021,"May 19, 2020",11 / 12,-4,-8,-12
871,Rick Weinhart,GPC,Q1 2020,"May 6, 2020",1 / 5,21,17,38
872,Rick Weinhart,PLCE,Q4 2019,"Mar 17, 2020",3 / 10,10,-1,9
873,Rick Weinhart,BKE,Q4 2019,"Mar 13, 2020",1 / 4,11,0,11
874,Rick Weinhart,GPS,Q4 2019,"Mar 12, 2020",11 / 12,-4,-6,-10
875,Rick Weinhart,ZUMZ,Q4 2019,"Mar 12, 2020",4 / 21,17,15,32
876,Rick Weinhart,AEO,Q4 2019,"Mar 4, 2020",12 / 19,-2,9,7
877,Rick Weinhart,ANF,Q4 2019,"Mar 4, 2020",2 / 16,20,13,33
878,Rick Weinhart,URBN,Q4 2020,"Mar 3, 2020",5 / 14,-3,-1,-4
879,Rick Weinhart,GPC,Q4 2019,"Feb 19, 2020",9 / 10,-5,-15,-20
880,Rick Weinhart,PLCE,Q3 2019,"Dec 11, 2019",9 / 10,-7,-6,-13
881,Rick Weinhart,AEO,Q3 2019,"Dec 11, 2019",16 / 22,-3,-5,-8
882,Rick Weinhart,ZUMZ,Q3 2019,"Dec 5, 2019",1 / 32,10,25,35
883,Rick Weinhart,ANF,Q3 2019,"Nov 26, 2019",6 / 20,-3,15,12
884,Rick Weinhart,GPS,Q3 2019,"Nov 21, 2019",14 / 20,-25,24,-1
885,Analyst_4903215,TGT,Q3 2021,"Nov 17, 2021",22 / 38,9,10,19
886,Analyst_4903215,V,Q4 2021,"Oct 26, 2021",40 / 69,16,-7,9
887,Analyst_4903215,WMT,Q2 2022,"Aug 17, 2021",6 / 47,16,12,28
888,Analyst_4903215,AA,Q2 2021,"Jul 15, 2021",10 / 25,12,9,21
889,Analyst_4903215,FIVE,Q4 2020,"Mar 17, 2021",2 / 12,18,20,38
890,Analyst_4903215,CSCO,Q4 2020,"Aug 12, 2020",40 / 116,8,19,27
891,Analyst_4903215,INTC,Q2 2020,"Jul 23, 2020",30 / 155,18,11,29
892,Analyst_4903215,TXN,Q2 2020,"Jul 21, 2020",20 / 54,10,9,19
893,Analyst_4903215,SNX,Q2 2020,"Jun 25, 2020",4 / 14,15,10,25
894,Analyst_4903215,KR,Q1 2020,"Jun 18, 2020",3 / 27,20,15,35
895,Analyst_4903215,CPB,Q3 2020,"Jun 3, 2020",2 / 33,11,18,29
896,Analyst_4903215,CRWD,Q1 2021,"Jun 2, 2020",16 / 54,15,9,24
897,Analyst_4903215,CRM,Q1 2021,"May 28, 2020",10 / 127,-2,25,23
898,Analyst_4903215,DG,Q1 2020,"May 28, 2020",4 / 19,10,11,21
899,Analyst_4903215,SPTN,Q1 2020,"May 27, 2020",1 / 14,24,12,36
900,Analyst_4903215,DE,Q2 2020,"May 22, 2020",15 / 19,-2,-4,-6
901,Analyst_4903215,FL,Q1 2020,"May 22, 2020",14 / 26,10,9,19
902,Analyst_4903215,BBY,Q1 2021,"May 21, 2020",1 / 25,23,14,37
